text,label,source
refactor move flake8 config,development,hf_github_issues
remove use of vformat with no placeholder,development,hf_github_issues
new constraint loose field number on uncheck,support,hf_github_issues
Pitch sprzedażowy dla sieci hotelowe,outreach,synthetic_pl
fix anchor rewrite contain a question mark,ops,hf_github_issues
SEO optimization for LinkedIn,marketing,synthetic_en
fix package doc so it show up on godoc org,ops,hf_github_issues
Configure CI/CD pipeline,ops,synthetic_en
Launch LinkedIn campaign,marketing,synthetic_en
Cold outreach to klientów enterprise,outreach,synthetic_en
Write blog post about modelu cenowego,marketing,synthetic_en
Promocja produktu przez SEO campaign,marketing,synthetic_pl
Zbadaj PM tools,research,synthetic_pl
e0283 could be well for call to associate function on the trait itself,development,hf_github_issues
Implement powiadomienia email,development,synthetic_en
Configure zależności,ops,synthetic_en
style add option definition for makestyle,support,hf_github_issues
rfc doc more vi diff txt cleanup,ops,hf_github_issues
paste value from different cell,development,hf_github_issues
Analiza bezpieczeństwa,research,synthetic_pl
Prototyp stronę docelową,design,synthetic_pl
Pozyskanie wczesnych użytkowników,outreach,synthetic_pl
Create mockup for task card,design,synthetic_en
Schedule demo with klientów enterprise,outreach,synthetic_en
Run promo on newsletter,marketing,synthetic_en
Aktualizacja ESLint config,ops,synthetic_pl
doc point to gdscript in gdscript script impl,ops,hf_github_issues
Zaprojektuj kartę zadania,design,synthetic_pl
Kampania marketingowa na social media,marketing,synthetic_pl
Email campaign for potential partners,marketing,synthetic_en
xrcontroller do not track in project create in alpha 15,support,hf_github_issues
Dodaj CSV export,development,synthetic_pl
document the order attribute of the element spr 3061,ops,hf_github_issues
Rozwiąż problem z edytora,support,synthetic_pl
POC dla the framework,research,synthetic_pl
Napisz artykuł na social media,marketing,synthetic_pl
Reklama na media społecznościowe,marketing,synthetic_pl
bug java spring webclient webclient metric contain actual query parameter result in oom,support,hf_github_issues
Rozwiąż problem z sprint board,support,synthetic_pl
Spike: explore konkurencji,research,synthetic_en
adjust configuration guide to reflect change to startup behaviour optimize instead of auto build,development,hf_github_issues
Investigate konkurencji,research,synthetic_en
Create mockup for icon set,design,synthetic_en
Audit PM tools,research,synthetic_en
Dokumentacja ESLint config,ops,synthetic_pl
encode json please document that float inf inf nan will cause json marshal return error,ops,hf_github_issues
Audit security posture,research,synthetic_en
Run promo on SEO campaign,marketing,synthetic_en
limit module in the aggregated javadoc to those that we expect an application to depend upon,ops,hf_github_issues
Zbadaj performance,research,synthetic_pl
Partnerstwo: sieci hotelowe,outreach,synthetic_pl
be there any way to use stepbycount like avplayer on io,support,hf_github_issues
transform add the ability to delete document from the destination index,development,hf_github_issues
Schedule demo with 20 hotels,outreach,synthetic_en
Kampania marketingowa na kampanię SEO,marketing,synthetic_pl
chore doc complement the addon api doc,ops,hf_github_issues
Add eksport CSV to the app,development,synthetic_en
Error in formularza reported by user,support,synthetic_en
Pitch sprzedażowy dla hotel chains,outreach,synthetic_pl
Cold outreach to inwestorów,outreach,synthetic_en
smartinitializingsingleton bean be not work with lazy initialization,support,hf_github_issues
Setup README,ops,synthetic_en
win t let I hit play with the following error,support,hf_github_issues
Zaimplementuj dashboard KPI,development,synthetic_pl
Design prototyp w Figmie,design,synthetic_en
Setup the DB migration,ops,synthetic_en
package do not get transpile in jest like react markdown,support,hf_github_issues
Setup Netlify deploy,ops,synthetic_en
net http document that setcookie can quote the value,ops,hf_github_issues
Fix bug in formularza,support,synthetic_en
Nowa funkcja: powiadomienia email,development,synthetic_pl
Konfiguracja README,ops,synthetic_pl
chore doc additional vue ts snippet,ops,hf_github_issues
bug fix kotlin generator doesn t support inheritance,development,hf_github_issues
Przeprojektuj typografię,design,synthetic_pl
Integrate onboarding wizard,development,synthetic_en
the nologo argument to powershell do not work,support,hf_github_issues
Plan marketing campaign on social media,marketing,synthetic_en
Wdróż eksport CSV,development,synthetic_pl
Aktualizacja zależności,ops,synthetic_pl
Prototype typografię in Figma,design,synthetic_en
Zaimplementuj dark mode,development,synthetic_pl
ffmpeg isn t load from the package directory sometimes,support,hf_github_issues
Wdrożenie API docs,ops,synthetic_pl
Przygotuj newsletter o backlog filter,marketing,synthetic_pl
Zbadaj third-party APIs,research,synthetic_pl
Optymalizacja SEO dla LinkedIn,marketing,synthetic_pl
Email campaign for wczesnych użytkowników,marketing,synthetic_en
rename the editor set for the minimap,development,hf_github_issues
Analiza the framework,research,synthetic_pl
add note in documentation for spring cli,ops,hf_github_issues
what s new in 4 0 section in reference documentation spr 11120,ops,hf_github_issues
Implement onboarding wizard,development,synthetic_en
Configure README,ops,synthetic_en
reference documentation doesn t mention componentscan at all spr 11846,ops,hf_github_issues
Create mockup for dashboard mockup,design,synthetic_en
Badanie bezpieczeństwa przed decyzją,research,synthetic_pl
Umów demo z early adopters,outreach,synthetic_pl
Analiza security posture,research,synthetic_pl
Upgrade konfigurację ESLint,ops,synthetic_en
dnn fail ocl fp16 test on recent intel gpu,support,hf_github_issues
Create mockup for color palette,design,synthetic_en
Dokumentacja CI/CD pipeline,ops,synthetic_pl
fix doc,ops,hf_github_issues
Umów demo z investors,outreach,synthetic_pl
Zbuduj wyszukiwarkę zadań,development,synthetic_pl
Zbuduj powiadomienia email,development,synthetic_pl
Kampania email do early adopters,marketing,synthetic_pl
Run promo on email campaign,marketing,synthetic_en
Plan marketing campaign on SEO campaign,marketing,synthetic_en
Zbadaj the hotel market,research,synthetic_pl
comment classification initially only colorize identifier cause flash,support,hf_github_issues
icon request fa money alt,development,hf_github_issues
full editing pass plus link,ops,hf_github_issues
Prototype prototyp w Figmie in Figma,design,synthetic_en
Prototype Figma prototype in Figma,design,synthetic_en
add next font import,ops,hf_github_issues
remove trail slash from void element in internal template,development,hf_github_issues
Spike: explore competitor pricing,research,synthetic_en
Prepare press release about eksport CSV,marketing,synthetic_en
Resolve crash in paginacji,support,synthetic_en
Integrate backlog filter,development,synthetic_en
Wireframe prototyp w Figmie,design,synthetic_en
more native text object for common scenario,development,hf_github_issues
fix doc infra add guard to not render anchor link for private api,support,hf_github_issues
Makieta: Figma prototype,design,synthetic_pl
flink 9664 doc fix documentation in ml quick start,ops,hf_github_issues
search optimisation add canmatch early abort for query on index field,development,hf_github_issues
Dodaj onboarding wizard,development,synthetic_pl
5 4 0 modal afteropenchange typescript,support,hf_github_issues
Handle customer feedback on logowania,support,synthetic_en
show jvm argument,development,hf_github_issues
Błąd w obszarze edytora,support,synthetic_pl
Analiza competitor pricing,research,synthetic_pl
Fix bug in realtime,support,synthetic_en
Wdróż dashboard KPI,development,synthetic_pl
Design kartę zadania,design,synthetic_en
Audit modelu cenowego,research,synthetic_en
Dodaj dark mode,development,synthetic_pl
enhancement request access to diagnostic equivalent via the api,support,hf_github_issues
Dokumentacja dokumentację API,ops,synthetic_pl
move async task maintenance service to core plugin,development,hf_github_issues
Resolve crash in sprint board,support,synthetic_en
Error in tablicy sprintu reported by user,support,synthetic_en
api ilm explain add stat for time since index rollover,development,hf_github_issues
when instal globally tsc should check for node module bin tsc,support,hf_github_issues
Zbadaj API dostawców,research,synthetic_pl
Umów demo z enterprise leads,outreach,synthetic_pl
Update documentation for Netlify deploy,ops,synthetic_en
Zaimplementuj onboarding wizard,development,synthetic_pl
update 10 parallel route mdx,ops,hf_github_issues
move group leave right doesn t do anything in a couple case,support,hf_github_issues
Email campaign for enterprise leads,marketing,synthetic_en
page up page down in git commit text box scroll entire page,support,hf_github_issues
Makieta: prototyp w Figmie,design,synthetic_pl
Napraw błąd w edytora,support,synthetic_pl
Audit the pricing model,research,synthetic_en
cli add bash completion script and install with homebrew,development,hf_github_issues
Setup deploy na Netlify,ops,synthetic_en
Redesign typography,design,synthetic_en
Integrate wyszukiwarkę zadań,development,synthetic_en
Analiza API dostawców,research,synthetic_pl
Zaprojektuj makietę dashboardu,design,synthetic_pl
Configure dokumentację API,ops,synthetic_en
SEO optimization for media społecznościowe,marketing,synthetic_en
Partnerstwo: hotel chains,outreach,synthetic_pl
Cold outreach to early adopters,outreach,synthetic_en
Hotfix: formularza is broken,support,synthetic_en
need a solution for loading out of tree module source,development,hf_github_issues
Resolve crash in autoryzacji,support,synthetic_en
rename a script file doesn t auto update the name everywhere,support,hf_github_issues
storybook for angular page describe incorrect configuration,support,hf_github_issues
node add boolnode and uintnode,development,hf_github_issues
Research: evaluate API dostawców,research,synthetic_en
Rozwiąż problem z pagination,support,synthetic_pl
Spike: explore the pricing model,research,synthetic_en
improve custom server documentation,ops,hf_github_issues
can not attach writable persistent disk to daemonset with single pod,support,hf_github_issues
Email campaign for sieci hotelowe,marketing,synthetic_en
Implement widok Gantt,development,synthetic_en
Plan marketing campaign on blog,marketing,synthetic_en
Build wyszukiwarkę zadań,development,synthetic_en
update documentation photo hpp,ops,hf_github_issues
Handle customer feedback on kalendarza,support,synthetic_en
Spike: explore the hotel market,research,synthetic_en
changelog of 8 1 0 release,ops,hf_github_issues
Update documentation for deploy na Netlify,ops,synthetic_en
Dodaj kreator onboardingu,development,synthetic_pl
Napraw błąd w tablicy sprintu,support,synthetic_pl
Analysis of konkurencji,research,synthetic_en
Prototype paletę kolorów in Figma,design,synthetic_en
Cold mailing do inwestorów,outreach,synthetic_pl
move grok pattern load out of grokprocessorfactory,development,hf_github_issues
Umów demo z 20 hoteli,outreach,synthetic_pl
SEO optimization for kampanię email,marketing,synthetic_en
Badanie narzędzi PM przed decyzją,research,synthetic_pl
enhance window segment parser,development,hf_github_issues
Add CSV export to the app,development,synthetic_en
add source fallback support for unsigned long mapped type,development,hf_github_issues
Integrate task search,development,synthetic_en
Hotfix: zepsute the calendar,support,synthetic_pl
Analysis of bezpieczeństwa,research,synthetic_en
contextloader should rethrow assertionerror as be,development,hf_github_issues
Analysis of wydajności,research,synthetic_en
Prepare press release about email digest,marketing,synthetic_en
Partnerstwo: enterprise leads,outreach,synthetic_pl
storysource add instruction to display full source,ops,hf_github_issues
Create mockup for typografię,design,synthetic_en
init kubelet runtime cache before dependent stat provider,support,hf_github_issues
document scenetreetimer be free automatically when elapse,ops,hf_github_issues
bug doc update link to test library user event page,ops,hf_github_issues
Redesign task card,design,synthetic_en
Design Figma prototype,design,synthetic_en
Napraw błąd w login,support,synthetic_pl
Resolve crash in realtime,support,synthetic_en
Promocja produktu przez kampanię email,marketing,synthetic_pl
apache drill jdbc url need,support,hf_github_issues
Cold mailing do potential partners,outreach,synthetic_pl
update oal md,ops,hf_github_issues
tooltip fix classname not get apply from popperprop,support,hf_github_issues
Aktualizacja migrację bazy,ops,synthetic_pl
the width of the terminal can overflow out of the panel for monospace font,support,hf_github_issues
be there a place on the admin ui to see when be the last time the event entity table be clean,development,hf_github_issues
Sales pitch for investors,outreach,synthetic_en
doc what be the proper way to build with next public env var in docker,ops,hf_github_issues
script api for window manager,development,hf_github_issues
Reklama na social media,marketing,synthetic_pl
Partnership outreach: potencjalnych partnerów,outreach,synthetic_en
doc redirect the blog post about form to the form guide,ops,hf_github_issues
Growth: acquire 20 hoteli,outreach,synthetic_en
add miss curly brace for action property in the button story example,ops,hf_github_issues
add signalfxconfig source property,development,hf_github_issues
Reklama na newsletter,marketing,synthetic_pl
Rozwiąż problem z logowania,support,synthetic_pl
Partnership outreach: enterprise leads,outreach,synthetic_en
bazel rule node js 3 7 0 npm install not create bin folder under node module,support,hf_github_issues
Error in auth flow reported by user,support,synthetic_en
make filterregistrationbean generic,development,hf_github_issues
paste as plain text retain original clipboard content,development,hf_github_issues
Prototyp typografię,design,synthetic_pl
Wdróż widok Gantt,development,synthetic_pl
Build task search,development,synthetic_en
Prototype typography in Figma,design,synthetic_en
Dodaj dashboard KPI,development,synthetic_pl
Sales pitch for sieci hotelowe,outreach,synthetic_en
automate cherry pick of 81720 fix azure disk name matching issue,support,hf_github_issues
Optymalizacja SEO dla blog,marketing,synthetic_pl
php code syntax highlighting do not work in markdown file,support,hf_github_issues
Partnership outreach: early adopters,outreach,synthetic_en
Promocja produktu przez blog,marketing,synthetic_pl
Growth: acquire investors,outreach,synthetic_en
Rozwiąż problem z paginacji,support,synthetic_pl
Refactor kalendarza code,ops,synthetic_en
allow scrollcontainer to be click for focus and border,development,hf_github_issues
Refaktoryzacja autoryzacji,ops,synthetic_pl
add a restart a stop or fail job section to the batch howto,ops,hf_github_issues
POC dla PM tools,research,synthetic_pl
Wdróż powiadomienia email,development,synthetic_pl
Hotfix: logowania is broken,support,synthetic_en
Hotfix: kalendarza is broken,support,synthetic_en
Zaprojektuj stronę docelową,design,synthetic_pl
Prototype stronę docelową in Figma,design,synthetic_en
remove yaml shortcoming section as it no long apply,ops,hf_github_issues
Cold outreach to 20 hoteli,outreach,synthetic_en
Refactor formularza code,ops,synthetic_en
Wdrożenie deploy na Netlify,ops,synthetic_pl
Handle customer feedback on realtime,support,synthetic_en
dropdown contextmenu,support,hf_github_issues
Przygotuj newsletter o dark mode,marketing,synthetic_pl
Napraw błąd w realtime,support,synthetic_pl
tip of the day overview,development,hf_github_issues
python3 issue with keras custom layer,support,hf_github_issues
Research: evaluate competitor pricing,research,synthetic_en
Cold outreach to wczesnych użytkowników,outreach,synthetic_en
Growth: acquire inwestorów,outreach,synthetic_en
Błąd w obszarze realtime,support,synthetic_pl
Design landing page,design,synthetic_en
Investigate bezpieczeństwa,research,synthetic_en
Przygotuj newsletter o onboarding wizard,marketing,synthetic_pl
no result fetch when I close statement in dbeaver 21 3 4,support,hf_github_issues
Zgłoszenie klienta dotyczące edytora,support,synthetic_pl
Write blog post about the pricing model,marketing,synthetic_en
add zhaopin com power by md,ops,hf_github_issues
Refaktoryzacja sprint board,ops,synthetic_pl
Wireframe makietę dashboardu,design,synthetic_en
Badanie the pricing model przed decyzją,research,synthetic_pl
in gradle plugin doc replace classifier deprecate with archiveclassifier in example,ops,hf_github_issues
Update documentation for Next.js do v15,ops,synthetic_en
videocapture do not work with video for window backend,support,hf_github_issues
Investigate third-party APIs,research,synthetic_en
Growth: acquire klientów enterprise,outreach,synthetic_en
Refactor login code,ops,synthetic_en
Napisz artykuł na blog,marketing,synthetic_pl
Błąd w obszarze the calendar,support,synthetic_pl
Cold mailing do wczesnych użytkowników,outreach,synthetic_pl
Pitch sprzedażowy dla potencjalnych partnerów,outreach,synthetic_pl
not get where code be go wrong with drmseesion,support,hf_github_issues
Badanie third-party APIs przed decyzją,research,synthetic_pl
Wireframe icon set,design,synthetic_en
flink 9871 use description class for configoption with rich format,ops,hf_github_issues
memory leak,support,hf_github_issues
Optymalizacja SEO dla SEO campaign,marketing,synthetic_pl
Refaktoryzacja auth flow,ops,synthetic_pl
Refactor the calendar code,ops,synthetic_en
Błąd w obszarze kalendarza,support,synthetic_pl
Wireframe typography,design,synthetic_en
ml migrate unallocated job and datafeed,development,hf_github_issues
deprecate webpack 4 support,ops,hf_github_issues
cvcapture ffmpeg setproperty cap prop pos set picture pt inconsistently,support,hf_github_issues
Prototyp color palette,design,synthetic_pl
Wdrożenie zależności,ops,synthetic_pl
feature request clear coat tint and thickness,development,hf_github_issues
Fix bug in pagination,support,synthetic_en
call gettoplevelgroup be slow inside groupldapstoragemapper getldapgroupmappingsconverte,development,hf_github_issues
Napisz artykuł na kampanię email,marketing,synthetic_pl
flink 3043 doc fix description of kafka consumer and producer,ops,hf_github_issues
Audit the framework,research,synthetic_en
remove metaweather url be not valid,development,hf_github_issues
Cold mailing do potencjalnych partnerów,outreach,synthetic_pl
docs treesitter split codeblock,ops,hf_github_issues
hidpi support,development,hf_github_issues
Konfiguracja the DB migration,ops,synthetic_pl
tilemap add a toggle for collision per layer,development,hf_github_issues
Email campaign for early adopters,marketing,synthetic_en
Fix bug in edytora,support,synthetic_en
Kampania marketingowa na email campaign,marketing,synthetic_pl
Zbadaj competitor pricing,research,synthetic_pl
Przygotuj newsletter o tryb ciemny,marketing,synthetic_pl
Plan marketing campaign on X (Twitter),marketing,synthetic_en
Refactor realtime code,ops,synthetic_en
multiple daterange aggregation produce wrong result,support,hf_github_issues
Pitch sprzedażowy dla 20 hoteli,outreach,synthetic_pl
Plan marketing campaign on media społecznościowe,marketing,synthetic_en
use domrenderer,support,hf_github_issues
Upgrade CI/CD pipeline,ops,synthetic_en
Handle customer feedback on formularza,support,synthetic_en
Fix bug in logowania,support,synthetic_en
mention correct junit 5 annotation in kotlin testing section,ops,hf_github_issues
well user experience when attempt to call associate function with dot notation,development,hf_github_issues
gen vimdoc py fix help format reduce mpack format,ops,hf_github_issues
Pitch sprzedażowy dla enterprise leads,outreach,synthetic_pl
Partnership outreach: wczesnych użytkowników,outreach,synthetic_en
fix typo in dynamic config configmap md doc,ops,hf_github_issues
Zgłoszenie klienta dotyczące autoryzacji,support,synthetic_pl
Upgrade API docs,ops,synthetic_en
bazel build problem with contribute break change,ops,hf_github_issues
enhance inplacepodverticalscale performance,support,hf_github_issues
Makieta: paletę kolorów,design,synthetic_pl
Nowa funkcja: wyszukiwarkę zadań,development,synthetic_pl
fix typo in new experimental relay support doc,ops,hf_github_issues
add navigation bake crash prevention mechanism,development,hf_github_issues
Wdrożenie ESLint config,ops,synthetic_pl
Kampania marketingowa na X (Twitter),marketing,synthetic_pl
Refaktoryzacja the calendar,ops,synthetic_pl
make my own abr algorithm in hls,support,hf_github_issues
next font axis type of open san be miss ital and wght,support,hf_github_issues
doc remove extra from npm install command,ops,hf_github_issues
Kampania marketingowa na media społecznościowe,marketing,synthetic_pl
doc document that sync pool should be use only with pointer type,ops,hf_github_issues
Hotfix: the editor is broken,support,synthetic_en
bugfix after 1 6 0 auto increment of pgsql pk column be no long support,support,hf_github_issues
Dokumentacja konfigurację ESLint,ops,synthetic_pl
Create mockup for typography,design,synthetic_en
Cold mailing do 20 hotels,outreach,synthetic_pl
Redesign stronę docelową,design,synthetic_en
dropcap bbcode be incorrectly parse internally cause an error message,support,hf_github_issues
support constructor injection for failureanalyzer,development,hf_github_issues
cassandra connection use ssh tunnel not connect,support,hf_github_issues
script can not generate api doc for only one file,support,hf_github_issues
Create mockup for system ikon,design,synthetic_en
can not use sb hook useargs in react component render inside decorator or render function,ops,hf_github_issues
Przeprojektuj dashboard mockup,design,synthetic_pl
Hotfix: zepsute formularza,support,synthetic_pl
Napraw błąd w kalendarza,support,synthetic_pl
Refaktoryzacja realtime,ops,synthetic_pl
drop support for variable substition for program and runtime in package json,support,hf_github_issues
method action get event return an array of booleans instead of inputevent,support,hf_github_issues
fix window build failure in some environment,development,hf_github_issues
Błąd w obszarze paginacji,support,synthetic_pl
Hotfix: zepsute the editor,support,synthetic_pl
Napisz artykuł na SEO campaign,marketing,synthetic_pl
Create mockup for logo,design,synthetic_en
Optymalizacja SEO dla media społecznościowe,marketing,synthetic_pl
Research: evaluate bezpieczeństwa,research,synthetic_en
Create new eksport CSV,development,synthetic_en
Cold mailing do early adopters,outreach,synthetic_pl
Launch Instagram campaign,marketing,synthetic_en
update buildpack support for lifecycle v6,development,hf_github_issues
chore doc add section for custom type declaration,ops,hf_github_issues
Napisz artykuł na kampanię SEO,marketing,synthetic_pl
update bio nio aio md,development,hf_github_issues
Launch kampanię email campaign,marketing,synthetic_en
Add powiadomienia email to the app,development,synthetic_en
Hotfix: edytora is broken,support,synthetic_en
Upgrade the DB migration,ops,synthetic_en
Build widok Gantt,development,synthetic_en
Rozeznanie rynku: competitor pricing,research,synthetic_pl
why index signature type should be assignable to all know member,support,hf_github_issues
Spike: explore PM tools,research,synthetic_en
Reklama na LinkedIn,marketing,synthetic_pl
Makieta: typografię,design,synthetic_pl
Przygotuj newsletter o email digest,marketing,synthetic_pl
Promocja produktu przez email campaign,marketing,synthetic_pl
Research: evaluate security posture,research,synthetic_en
Resolve crash in edytora,support,synthetic_en
Prototype system ikon in Figma,design,synthetic_en
hiveserver2 connection failedout,support,hf_github_issues
cultivator shallow water bonus,support,hf_github_issues
panic custom error class must have a builder register,support,hf_github_issues
Resolve crash in login,support,synthetic_en
Badanie PM tools przed decyzją,research,synthetic_pl
Zgłoszenie klienta dotyczące pagination,support,synthetic_pl
Zaprojektuj Figma prototype,design,synthetic_pl
tabindex on paper while drawer be open cause textfield to become unselectable,support,hf_github_issues
Umów demo z 20 hotels,outreach,synthetic_pl
Przeprojektuj system ikon,design,synthetic_pl
elasticsearch rollup how the roll response and live response combine,development,hf_github_issues
Pozyskanie investors,outreach,synthetic_pl
Refactor pagination code,ops,synthetic_en
Update documentation for Dockerfile,ops,synthetic_en
Kampania email do potential partners,marketing,synthetic_pl
add manifest entry to indicate an aot process jar,development,hf_github_issues
Zaimplementuj panel KPI,development,synthetic_pl
the web site should use https,development,hf_github_issues
Kampania email do potencjalnych partnerów,marketing,synthetic_pl
Grafika i layout dla kartę zadania,design,synthetic_pl
POC dla modelu cenowego,research,synthetic_pl
Hotfix: tablicy sprintu is broken,support,synthetic_en
Audit narzędzi PM,research,synthetic_en
bytes newbuffer documentation error,ops,hf_github_issues
incorrect note for lifetime mismatch,development,hf_github_issues
fix a spelling error,ops,hf_github_issues
Create new panel KPI,development,synthetic_en
transform fail checkpoint on miss cluster,support,hf_github_issues
Zbadaj bezpieczeństwa,research,synthetic_pl
Prototyp dashboard mockup,design,synthetic_pl
can not query unmanaged external datum lake table,support,hf_github_issues
add jersey load on startup configuration property,development,hf_github_issues
Analiza third-party APIs,research,synthetic_pl
Analysis of third-party APIs,research,synthetic_en
Konfiguracja Next.js do v15,ops,synthetic_pl
Error in paginacji reported by user,support,synthetic_en
Grafika i layout dla landing page,design,synthetic_pl
comprehend moderation 0 1,development,hf_github_issues
Partnerstwo: wczesnych użytkowników,outreach,synthetic_pl
Resolve crash in pagination,support,synthetic_en
Sales pitch for wczesnych użytkowników,outreach,synthetic_en
Przeprojektuj icon set,design,synthetic_pl
Wdrożenie the DB migration,ops,synthetic_pl
Audit konkurencji,research,synthetic_en
fix typo and grammar error,ops,hf_github_issues
Integrate Gantt view,development,synthetic_en
fix crash after click on meshinstance with no owner,support,hf_github_issues
update issue template md,ops,hf_github_issues
Add email digest to the app,development,synthetic_en
Partnership outreach: sieci hotelowe,outreach,synthetic_en
add description to dedent in string xml,ops,hf_github_issues
Hotfix: pagination is broken,support,synthetic_en
Error in logowania reported by user,support,synthetic_en
plugin ambiguous undocumented ldflag pluginpath x,ops,hf_github_issues
external subtitle for local video,support,hf_github_issues
Kampania email do 20 hoteli,marketing,synthetic_pl
confuse incorrect error message with incoherent implementation and async block,development,hf_github_issues
Launch blog campaign,marketing,synthetic_en
Napraw błąd w autoryzacji,support,synthetic_pl
Grafika i layout dla typografię,design,synthetic_pl
Hotfix: zepsute the form,support,synthetic_pl
flink 28138 add metric for speculative execution,ops,hf_github_issues
Write blog post about third-party APIs,marketing,synthetic_en
Napisz artykuł na newsletter,marketing,synthetic_pl
Zbuduj backlog filter,development,synthetic_pl
Wdrożenie Dockerfile,ops,synthetic_pl
Nowa funkcja: dashboard KPI,development,synthetic_pl
Zgłoszenie klienta dotyczące the calendar,support,synthetic_pl
POC dla competitor pricing,research,synthetic_pl
Upgrade Netlify deploy,ops,synthetic_en
Zgłoszenie klienta dotyczące kalendarza,support,synthetic_pl
addon design asset update doc,ops,hf_github_issues
Design system ikon,design,synthetic_en
doc clarify some chdir relate behavior,ops,hf_github_issues
Schedule demo with enterprise leads,outreach,synthetic_en
maven plugin doc contain invalid parameter for image building,ops,hf_github_issues
Przeprojektuj typography,design,synthetic_pl
include spring profile group in additional spring configuration metadata json,ops,hf_github_issues
loop thread yield now cause 100 cpu usage,development,hf_github_issues
hutool dfa,development,hf_github_issues
Konfiguracja API docs,ops,synthetic_pl
Badanie performance przed decyzją,research,synthetic_pl
servletcontextinitializerbean can t handle scopedtarget bean correctly,support,hf_github_issues
Cold mailing do klientów enterprise,outreach,synthetic_pl
Wireframe system ikon,design,synthetic_en
Email campaign for investors,marketing,synthetic_en
Badanie the framework przed decyzją,research,synthetic_pl
outputfixingparser raise unhandled exception while wrap xmloutputparser,support,hf_github_issues
generic callstack format customization use regex pattern substitution,support,hf_github_issues
Implement eksport CSV,development,synthetic_en
Dokumentacja API docs,ops,synthetic_pl
Add widok Gantt to the app,development,synthetic_en
Integrate tryb ciemny,development,synthetic_en
Makieta: logo,design,synthetic_pl
chore update next image doc with unoptimized example,ops,hf_github_issues
Pozyskanie klientów enterprise,outreach,synthetic_pl
Rozwiąż problem z the editor,support,synthetic_pl
tweak help menu icon for well visibility of commonly use item,development,hf_github_issues
Dokumentacja Next.js do v15,ops,synthetic_pl
Refactor tablicy sprintu code,ops,synthetic_en
Konfiguracja deploy na Netlify,ops,synthetic_pl
Zaprojektuj system ikon,design,synthetic_pl
Makieta: stronę docelową,design,synthetic_pl
Refactor paginacji code,ops,synthetic_en
Prepare press release about onboarding wizard,marketing,synthetic_en
miss icon in pro version 5 1 0 2,support,hf_github_issues
Prototyp logo,design,synthetic_pl
Aktualizacja dokumentację API,ops,synthetic_pl
SEO optimization for social media,marketing,synthetic_en
Create new backlog filter,development,synthetic_en
Wireframe color palette,design,synthetic_en
Upgrade dokumentację API,ops,synthetic_en
Zaimplementuj CSV export,development,synthetic_pl
refactor editor extract py,support,hf_github_issues
Refaktoryzacja pagination,ops,synthetic_pl
Audit performance,research,synthetic_en
Design color palette,design,synthetic_en
add imagekit loader for image optimization 18408,ops,hf_github_issues
Optymalizacja SEO dla email campaign,marketing,synthetic_pl
recognise numpad alternate key for remappe to allow to a macropad under the numpad,development,hf_github_issues
Handle customer feedback on login,support,synthetic_en
Promocja produktu przez kampanię SEO,marketing,synthetic_pl
Refaktoryzacja logowania,ops,synthetic_pl
change goto line to use ctrl g and support column as well,development,hf_github_issues
Makieta: icon set,design,synthetic_pl
enable configuration cache feature preview,development,hf_github_issues
document kafka metric support,ops,hf_github_issues
